Facility_Name,Facility_Type,Street_Address,Suburb,Postcode,LGA,Latitude,Longitude,Phone,Website,Services_Offered,Target_Demographics,Operating_Hours,Accessibility,Last_Updated
Georges River Community Centre,Community Centre,12 MacMahon Street,Hurstville,2220,Georges River,-33.9658,151.1048,(02) 9330 6400,https://www.georgesriver.nsw.gov.au,Community Programs|Meeting Rooms|Events|Seniors Activities,All Ages,Mon-Fri 9:00-17:00,Wheelchair Accessible,2023-11-30
Kogarah Library and Cultural Centre,Library,Kogarah Town Square,Kogarah,2217,Georges River,-33.9645,151.1334,(02) 9330 9400,https://www.georgesriver.nsw.gov.au,Library Services|Cultural Programs|Meeting Rooms|Computer Access,All Ages,Mon-Thu 9:30-20:00|Fri-Sat 9:30-17:00|Sun 13:00-17:00,Wheelchair Accessible,2023-11-30
Hurstville Entertainment Centre,Entertainment Venue,16 Woodville Street,Hurstville,2220,Georges River,-33.9678,151.1098,(02) 9330 6600,https://www.hec.com.au,Concerts|Theatre|Community Events|Conferences,All Ages,Event Based,Wheelchair Accessible,2023-11-30
Penshurst RSL Club,Community Club,2A Penshurst Street,Penshurst,2222,Georges River,-33.9652,151.0902,(02) 9570 1847,https://www.penshurstrsL.com.au,Dining|Gaming|Community Events|Function Rooms,Adults,Daily 10:00-Late,Wheelchair Accessible,2023-11-30
Oatley Bowling Club,Sports Club,25 Letitia Street,Oatley,2223,Georges River,-33.9799,151.0766,(02) 9579 1327,https://www.oatleybowlingclub.com.au,Bowling|Dining|Social Events|Function Hire,All Ages,Daily 10:00-22:00,Wheelchair Accessible,2023-11-30
Carss Bush Park,Park,President Avenue,Blakehurst,2221,Georges River,-33.9889,151.1089,N/A,https://www.georgesriver.nsw.gov.au,Playground|BBQ Facilities|Walking Tracks|Picnic Areas,All Ages,24/7,Partially Accessible,2023-11-30
Hurstville Aquatic Centre,Recreation Centre,Dora Street,Hurstville,2220,Georges River,-33.9698,151.1078,(02) 9330 6460,https://www.georgesriver.nsw.gov.au,Swimming Pool|Gym|Fitness Classes|Hydrotherapy,All Ages,Mon-Fri 5:30-22:00|Weekends 7:00-19:00,Wheelchair Accessible,2023-11-30
Riverwood Community Centre,Community Centre,257 Belmore Road,Riverwood,2210,Canterbury-Bankstown,-33.9489,151.0523,(02) 9718 0111,https://www.cbcity.nsw.gov.au,Community Programs|Youth Services|Senior Services|Multicultural Programs,All Ages,Mon-Fri 9:00-17:00,Wheelchair Accessible,2023-11-30
Beverly Hills Senior Citizens Centre,Senior Centre,2 Moorebank Avenue,Beverly Hills,2209,Canterbury-Bankstown,-33.9499,151.0776,(02) 9750 0222,https://www.cbcity.nsw.gov.au,Senior Programs|Social Activities|Health Services|Meals,Seniors 55+,Mon-Fri 9:00-15:00,Wheelchair Accessible,2023-11-30
Padstow Community Centre,Community Centre,Padstow Park Road,Padstow,2211,Canterbury-Bankstown,-33.9567,151.0389,(02) 9709 4444,https://www.cbcity.nsw.gov.au,Community Programs|Youth Services|Family Support|Cultural Programs,All Ages,Mon-Fri 9:00-17:00,Wheelchair Accessible,2023-11-30