Facility_Name,Facility_Type,Street_Address,Suburb,Postcode,LGA,Latitude,Longitude,Phone,Website,Services_Offered,Target_Demographics,Operating_Hours,Accessibility,Managed_By,Last_Updated
Hurstville Library,Public Library,12-16 MacMahon Street,Hurstville,2220,Georges River,-33.9658,151.1048,(02) 9330 9400,https://www.georgesriver.nsw.gov.au/library,Library Services|Computer Access|Study Spaces|Programs|WiFi|Printing,All Ages,Mon-Thu 9:30-20:00|Fri-Sat 9:30-17:00|Sun 13:00-17:00,Wheelchair Accessible|Lift Access|Accessible Toilets,Georges River Council,2023-12-01
Kogarah Library and Cultural Centre,Public Library,Kogarah Town Square,Kogarah,2217,Georges River,-33.9645,151.1334,(02) 9330 9400,https://www.georgesriver.nsw.gov.au/library,Library Services|Cultural Programs|Meeting Rooms|Computer Access|WiFi,All Ages,Mon-Thu 9:30-20:00|Fri-Sat 9:30-17:00|Sun 13:00-17:00,Wheelchair Accessible|Lift Access|Accessible Toilets,Georges River Council,2023-12-01
Oatley Library,Public Library,85-87 Mulga Road,Oatley,2223,Georges River,-33.9789,151.0756,(02) 9330 9400,https://www.georgesriver.nsw.gov.au/library,Library Services|Study Spaces|Computer Access|WiFi|Local History,All Ages,Mon-Wed 9:30-17:00|Thu 9:30-20:00|Fri-Sat 9:30-17:00,Wheelchair Accessible|Accessible Toilets,Georges River Council,2023-12-01
Penshurst Library,Public Library,2 Penshurst Street,Penshurst,2222,Georges River,-33.9652,151.0902,(02) 9330 9400,https://www.georgesriver.nsw.gov.au/library,Library Services|Study Spaces|Computer Access|WiFi|Children's Programs,All Ages,Mon-Wed 9:30-17:00|Thu 9:30-20:00|Fri-Sat 9:30-17:00,Wheelchair Accessible|Accessible Toilets,Georges River Council,2023-12-01
South Hurstville Library,Public Library,19 MacMahon Street,South Hurstville,2221,Georges River,-33.9789,151.1089,(02) 9330 9400,https://www.georgesriver.nsw.gov.au/library,Library Services|Study Spaces|Computer Access|WiFi,All Ages,Mon-Wed 9:30-17:00|Thu 9:30-20:00|Fri-Sat 9:30-17:00,Wheelchair Accessible|Accessible Toilets,Georges River Council,2023-12-01
Hurstville Entertainment Centre,Entertainment Venue,16 Woodville Street,Hurstville,2220,Georges River,-33.9678,151.1098,(02) 9330 6600,https://www.hec.com.au,Concerts|Theatre|Community Events|Conferences|Function Hire,All Ages,Event Based,Wheelchair Accessible|Lift Access|Accessible Toilets|Hearing Loop,Hurstville Entertainment Centre,2023-12-01
Georges River Civic Centre,Civic Centre,2 MacMahon Street,Hurstville,2220,Georges River,-33.9668,151.1058,(02) 9330 6400,https://www.georgesriver.nsw.gov.au,Council Services|Chambers|Meeting Rooms|Customer Service|Citizenship Ceremonies,All Ages,Mon-Fri 8:30-17:00,Wheelchair Accessible|Lift Access|Accessible Toilets,Georges River Council,2023-12-01
Hurstville Aquatic Centre,Recreation Centre,Dora Street,Hurstville,2220,Georges River,-33.9698,151.1078,(02) 9330 6460,https://www.georgesriver.nsw.gov.au,Swimming Pool|Gym|Fitness Classes|Hydrotherapy|Learn to Swim,All Ages,Mon-Fri 5:30-22:00|Sat-Sun 7:00-19:00,Wheelchair Accessible|Pool Hoist|Accessible Change Rooms,Georges River Council,2023-12-01
Carss Bush Park,Park,President Avenue,Blakehurst,2221,Georges River,-33.9889,151.1089,N/A,https://www.georgesriver.nsw.gov.au,Playground|BBQ Facilities|Walking Tracks|Picnic Areas|Boat Ramp,All Ages,24/7,Partially Accessible|Accessible Toilets|Accessible Parking,Georges River Council,2023-12-01
Kogarah Golf Course,Golf Course,Kent Road,Kogarah,2217,Georges River,-33.9723,151.1378,(02) 9587 4653,https://www.kogarahgolf.com.au,18 Hole Golf Course|Pro Shop|Clubhouse|Function Rooms,All Ages,Daily 6:00-18:00,Golf Buggy Access|Accessible Clubhouse,Private Club,2023-12-01
Riverwood Community Centre,Community Centre,257 Belmore Road,Riverwood,2210,Canterbury-Bankstown,-33.9489,151.0523,(02) 9718 0111,https://www.cbcity.nsw.gov.au,Community Programs|Youth Services|Senior Services|Multicultural Programs|Meeting Rooms,All Ages,Mon-Fri 9:00-17:00,Wheelchair Accessible|Accessible Toilets,Canterbury-Bankstown Council,2023-12-01
Beverly Hills Community Centre,Community Centre,2 Moorebank Avenue,Beverly Hills,2209,Canterbury-Bankstown,-33.9499,151.0776,(02) 9750 0222,https://www.cbcity.nsw.gov.au,Community Programs|Senior Programs|Health Services|Meeting Rooms,All Ages,Mon-Fri 9:00-17:00,Wheelchair Accessible|Accessible Toilets,Canterbury-Bankstown Council,2023-12-01
Padstow Community Centre,Community Centre,Padstow Park Road,Padstow,2211,Canterbury-Bankstown,-33.9567,151.0389,(02) 9709 4444,https://www.cbcity.nsw.gov.au,Community Programs|Youth Services|Family Support|Cultural Programs,All Ages,Mon-Fri 9:00-17:00,Wheelchair Accessible|Accessible Toilets,Canterbury-Bankstown Council,2023-12-01