Facility_Name,Facility_Type,Street_Address,Suburb,Postcode,LGA,Latitude,Longitude,Phone,Website,Services_Offered,Operating_Hours,Emergency_Services,Accessibility,Last_Updated
St George Hospital,Public Hospital,Gray Street,Kogarah,2217,Georges River,-33.9638,151.1345,(02) 9113 1111,https://www.seslhd.health.nsw.gov.au/StGeorge,Emergency Department|Surgery|Maternity|Mental Health,24/7,Yes,Wheelchair Accessible,2023-11-15
Hurstville Community Health Centre,Community Health Centre,2 Treacy Street,Hurstville,2220,Georges River,-33.9678,151.1056,(02) 9113 2300,https://www.seslhd.health.nsw.gov.au,GP Services|Nursing|Allied Health|Mental Health,Mon-Fri 8:30-17:00,No,Wheelchair Accessible,2023-11-15
Kogarah Community Health Centre,Community Health Centre,2-6 Belgrave Street,Kogarah,2217,Georges River,-33.9645,151.1334,(02) 9113 2400,https://www.seslhd.health.nsw.gov.au,GP Services|Nursing|Physiotherapy|Social Work,Mon-Fri 8:30-17:00,No,Wheelchair Accessible,2023-11-15
Royal Prince Alfred Hospital,Public Hospital,Missenden Road,Camperdown,2050,Inner West,-33.8889,151.1833,(02) 9515 6111,https://www.slhd.nsw.gov.au/rpa,Emergency Department|Surgery|Oncology|Cardiology,24/7,Yes,Wheelchair Accessible,2023-11-15
Prince of Wales Hospital,Public Hospital,Barker Street,Randwick,2031,Randwick,-33.9189,151.2345,(02) 9382 2222,https://www.seslhd.health.nsw.gov.au/POW,Emergency Department|Surgery|Trauma|Rehabilitation,24/7,Yes,Wheelchair Accessible,2023-11-15
Sutherland Hospital,Public Hospital,The Kingsway,Caringbah,2229,Sutherland Shire,-34.0456,151.1234,(02) 9540 7111,https://www.seslhd.health.nsw.gov.au/Sutherland,Emergency Department|Surgery|Maternity|Aged Care,24/7,Yes,Wheelchair Accessible,2023-11-15
Liverpool Hospital,Public Hospital,Elizabeth Street,Liverpool,2170,Liverpool,-33.9234,150.9234,(02) 8738 3000,https://www.swslhd.health.nsw.gov.au/liverpool,Emergency Department|Surgery|Paediatrics|Mental Health,24/7,Yes,Wheelchair Accessible,2023-11-15
Bankstown-Lidcombe Hospital,Public Hospital,Eldridge Road,Bankstown,2200,Canterbury-Bankstown,-33.9167,151.0333,(02) 9722 8000,https://www.swslhd.health.nsw.gov.au/bankstown,Emergency Department|Surgery|Maternity|Rehabilitation,24/7,Yes,Wheelchair Accessible,2023-11-15
Concord Repatriation General Hospital,Public Hospital,Hospital Road,Concord,2139,Canada Bay,-33.8456,151.0889,(02) 9767 5000,https://www.slhd.nsw.gov.au/concord,Emergency Department|Surgery|Veterans Care|Rehabilitation,24/7,Yes,Wheelchair Accessible,2023-11-15
Westmead Hospital,Public Hospital,Darcy Road,Westmead,2145,Parramatta,-33.8089,150.9456,(02) 8890 5555,https://www.wslhd.health.nsw.gov.au/Westmead,Emergency Department|Surgery|Paediatrics|Research,24/7,Yes,Wheelchair Accessible,2023-11-15